Claim_Probability,Predicted_Severity,Risk_Based_Premium
0.0,4027.985,0.0
0.0,4482.2524,0.0
0.0,2921.7048,0.0
0.0,2530.2288,0.0
0.0,8716.856,0.0
0.0,1494.173,0.0
0.0,6995.423,0.0
0.0,4282.8643,0.0
0.0,17418.412,0.0
0.0,3035.9084,0.0
0.0,1672.8287,0.0
0.0,32258.44,0.0
0.0,404.4438,0.0
0.0,160.49936,0.0
0.0,2863.5977,0.0
0.0,63488.53,0.0
0.0,17593.998,0.0
0.0,41660.87,0.0
0.0,3044.014,0.0
0.0,16902.084,0.0
0.0,1602.91,0.0
0.00375,32309.268,151.44969177246094
0.0,25914.174,0.0
0.0,14911.008,0.0
0.0,4941.94,0.0
0.0,15855.03,0.0
0.0,55381.0,0.0
0.0,23992.842,0.0
0.0,36975.477,0.0
0.0,3355.331,0.0
0.06839677553717126,21124.963,1806.0991813264382
0.0,17666.967,0.0
0.0,12445.718,0.0
0.0,80515.84,0.0
0.0,84664.016,0.0
0.0,7394.8877,0.0
0.0,19276.889,0.0
0.0,65288.496,0.0
0.0,3366.4746,0.0
0.0,12238.848,0.0
0.0,30452.404,0.0
0.0,365.38336,0.0
0.0,4509.929,0.0
0.0,4655.3545,0.0
0.0,47492.055,0.0
0.0,22575.223,0.0
0.0,-634.95374,-0.0
0.0,696.78375,0.0
0.0,15168.2295,0.0
0.0,4396.438,0.0
0.0,19502.809,0.0
0.0,1114.5085,0.0
0.0,23152.568,0.0
0.0,5343.066,0.0
0.0,5037.7144,0.0
0.0,8315.387,0.0
0.0,20638.045,0.0
0.0,43156.13,0.0
0.0,-326.0195,-0.0
0.0,4540.2866,0.0
0.0,36921.42,0.0
0.0,2679.241,0.0
0.0,48779.72,0.0
0.0,69884.88,0.0
0.0,3658.9297,0.0
0.0,96158.63,0.0
0.0,5141.894,0.0
0.0,3066.2886,0.0
0.0,4952.2417,0.0
0.0,2527.496,0.0
0.0,5168.6064,0.0
0.0,586.1478,0.0
0.0,2905.6987,0.0
0.0,4740.9316,0.0
0.0,3938.674,0.0
0.0,4339.5903,0.0
0.0,66953.24,0.0
0.0,95368.2,0.0
0.0,5990.768,0.0
0.0,62347.36,0.0
0.0,20978.99,0.0
0.4440476190476189,37953.137,21066.249994187125
0.0,42995.28,0.0
